LONGITUDE,LATITUDE,NAME,TYPE
40.8166356996211,-73.9414779103516,Abyssinian Baptist Church,attraction
40.7650553863463,-74.0011625679794,Aermacchi MB339 PAN,attraction
40.6899903499833,-74.0208965997936,Amazen' Maze,attraction
40.705292944089,-74.0024435995864,Ambrose,attraction
40.7603275458055,-73.9511292097005,Blackwell House,attraction
40.7757603529026,-73.9717689184278,Bow Bridge,attraction
40.7061457499908,-73.9969304206421,Brooklyn Bridge,attraction
40.7537498328973,-73.9835671958982,Bryant Park,attraction
40.7034543974848,-74.0165614011642,Castle Clinton,attraction
40.8037671780712,-73.9617872846104,Cathedral of Saint John the Divine,attraction
40.76994265,-73.97524755,Central Park Carousel,attraction
40.7680345229744,-73.9818913662798,Columbus Circle,attraction
40.7657017541937,-74.0018776013543,Concorde,attraction
40.7643573371954,-74.0001427902639,E-1B Tracer,attraction
40.748428398822,-73.9856546352086,Empire State Building,attraction
40.7641961647047,-73.9996653667695,F-14 Tomcat,attraction
40.7644134918488,-73.9997975556514,F-16A Fighting Falcon,attraction
40.7644264381717,-74.0002530948416,F-4N Phantom II,attraction
40.7642773063383,-73.9999038485336,F/A-18 Hornet,attraction
40.7195525242877,-74.0066130751267,FDNY Ladder 8,attraction
40.7073223000548,-74.0102530363207,Federal Hall National Memorial,attraction
40.7523285957927,-74.0097950079352,Fireboat John J. Harvey,attraction
40.7410863272779,-73.989629840755,Flatiron Building,attraction
40.6914322989461,-74.0159799626773,Fort Jay,attraction
40.7527012306454,-73.9772498853427,Grand Central Terminal,attraction
40.7053365294169,-74.0033763603644,Helen McAllister,attraction
40.764629019554,-74.0002683021463,HH-52A Sea Guardian,attraction
40.8332760499841,-73.9464318630094,Hispanic Society of America,attraction
40.7644605577321,-73.9999361157571,Kfir C-2,attraction
40.75211716442,-74.0092969627013,Lightship Frying Pan,attraction
40.7725183990058,-73.9842236671017,Lincoln Center for the Performing Arts,attraction
40.7642989277457,-73.9995053607849,Lockheed A-12,attraction
40.7505238982476,-73.9935500924348,Madison Square Garden,attraction
40.7649969394884,-74.0010051255643,MiG-17,attraction
40.7650334062996,-74.001053035574,MiG-21,attraction
40.7119928970017,-74.0167217316028,New York City Police Memorial,attraction
40.7533359103412,-73.9821453897445,New York Public Library,attraction
40.7070647392454,-74.0111747540447,New York Stock Exchange,attraction
40.7564660002166,-73.9885078340131,Ripley's Believe It or Not!,attraction
40.7588782498187,-73.9790620800088,Rockefeller Center,attraction
40.7113030625425,-74.009184177216,Saint Paul's Chapel,attraction
40.7580134438513,-73.9769569036098,Saks Fifth Avenue,attraction
40.7202840359679,-74.016015464978,Sherman Zwicker,attraction
40.765197060162,-74.0018667721194,Space Shuttle Enterprise,attraction
40.6892532373992,-74.0445481854759,Statue of Liberty,attraction
40.7986699,-73.9562876,The Blockhouse,attraction
40.8648280498582,-73.9317283363504,The Cloisters,attraction
40.7767748531541,-73.9759109540655,The Dakota,attraction
40.722445449762,-74.0028904725897,The Drawing Center,attraction
40.7561325373606,-73.9865764718135,Times Square Ball,attraction
40.7496282644527,-73.9673898963269,United Nations Headquarters,attraction
40.7205282501792,-74.0140205591536,USCGC Lilac,attraction
40.7650476622728,-73.9998336521152,USS Growler,attraction
40.764734265449,-74.0008419865213,USS Intrepid,attraction
40.7048199387769,-74.0031744367148,Wavertree,attraction
40.7124551552259,-74.0081351664628,Woolworth Building,attraction